sku,new status,site change,proposed web action,what is web status??,,,,
B26793,DIS- Discontinued,everywhere,remove from web,not listed,,,,
C26185,DIS- Discontinued,everywhere,remove from web,not listed,,,,
C26226,DIS- Discontinued,everywhere,remove from web,not listed,,,,
C26845,DIS- Discontinued,everywhere,remove from web,not listed,,,,
C47151,DIS- Discontinued,everywhere,remove from web,not listed,,,,
D26200,DIS- Discontinued,everywhere,remove from web,not listed,,,,
D26350,DIS- Discontinued,everywhere,remove from web,not listed,,,,
D26514,DIS- Discontinued,everywhere,remove from web,not listed,,,,
P26300,DIS- Discontinued,everywhere,remove from web,not listed,,,,
R26486,DIS- Discontinued,everywhere,remove from web,not listed,,,,
S9089,DIS- Discontinued,everywhere,remove from web,not listed,,,,
C47041,PND- Pending Discontinuation,everywhere,pending removal,not listed,,,,
EA0359,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
EA0379,DIS- Discontinued,everywhere,remove from web,"not listed; EA0379BOX listed as discontinued, only entry",,,,
EC6009,DIS- Discontinued,everywhere,remove from web,not listed,,,,
EC6019,DIS- Discontinued,everywhere,remove from web,not listed,,,,
EC6029,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
EC6039,DIS- Discontinued,everywhere,remove from web,not listed,,,,
EC6049,DIS- Discontinued,everywhere,remove from web,"not listed, EC6049BOX listed as discontinued",,,,
EC6069,DIS- Discontinued,everywhere,remove from web,not listed,,,,
EC6079,DIS- Discontinued,everywhere,remove from web,"not listed, EC6079BOX listed as discontinued",,,,
EC6509,DIS- Discontinued,everywhere,remove from web,not listed,,,,
EC6869,DIS- Discontinued,everywhere,remove from web,"not listed, EC6869BOX listed as Discontinued",,,,
EC6879,DIS- Discontinued,everywhere,remove from web,"not listed, EC6879BOX discontinued",,,,
EC6889,DIS- Discontinued,everywhere,remove from web,"not listed, EC6889BOX discontinued",,,,
NP0317,DIS- Discontinued,everywhere,remove from web,"not listed, NP0317BOX discontinued",,,,
NP0337,DIS- Discontinued,everywhere,remove from web,"not listed, NP0337BOX released",,,,
EI8644,PND- Pending Discontinuation,everywhere,pending removal,discontinued,,,,
ZGEXSCPOWEREASE,PND- Pending Discontinuation,everywhere,pending removal,discontinued,,,,
ZGEXSCPOWEREASE3Y,PND- Pending Discontinuation,everywhere,pending removal,discontinued,,,,
S1052001,PND- Pending Discontinuation,everywhere,pending removal,web orderable not viewable,,,,
S1503100,PND- Pending Discontinuation,everywhere,pending removal,discontinued,,,,
S1504100,PND- Pending Discontinuation,everywhere,pending removal,released,,,,
S1513100,PND- Pending Discontinuation,everywhere,pending removal,released,,,,
S1514100,PND- Pending Discontinuation,everywhere,pending removal,released,,,,
S1520100,PND- Pending Discontinuation,everywhere,pending removal,Discontinued,,,,
S1520250,PND- Pending Discontinuation,everywhere,pending removal,Released,,,,
4457326,PND- Pending Discontinuation,everywhere,pending removal,not listed,,,,
4457327,PND- Pending Discontinuation,everywhere,pending removal,not listed,,,,
4457332,PND- Pending Discontinuation,everywhere,pending removal,not listed,,,,
4457333,PND- Pending Discontinuation,everywhere,pending removal,not listed,,,,
4475126,ACT- Active,everywhere,active on web,In creation,,,,
4428262,ACT- Active,everywhere,active on web,not listed,,,,
A1515602,DIS- Discontinued,everywhere,remove from web,Released,,,,
K1023,ACT- Active,everywhere,active on web,Released,,,,
EHRNTS2,ACT- Active,everywhere,active on web,Released,,,,
EMIL42,ACT- Active,everywhere,active on web,Released,,,,
ERIFNG2,ACT- Active,everywhere,active on web,Released,,,,
4404310,ACT- Active,everywhere,active on web,Released,,,,
4482277,ACT- Active,everywhere,active on web,Released,,,,
A16428,ACT- Active,everywhere,active on web,Released,,,,
A16429,ACT- Active,everywhere,active on web,Released,,,,
A16430,ACT- Active,everywhere,active on web,released,,,,
A16431,ACT- Active,everywhere,active on web,released,,,,
A16432,ACT- Active,everywhere,active on web,released,,,,
A18938,ACT- Active,everywhere,active on web,released,,,,
A18940,ACT- Active,everywhere,active on web,released,,,,
A18941,ACT- Active,everywhere,active on web,released,,,,
07190001BX,ACT- Active,everywhere,active on web,Web Orderable Not Viewable,,,,
07190008 T,ACT- Active,everywhere,active on web,web orderable not viewable,,,,
07390004JX,ACT- Active,everywhere,active on web,web orderable not viewable,,,,
07490692JX,ACT- Active,everywhere,active on web,not listed; not in PIM,,,,
07690034 T,ACT- Active,everywhere,active on web,web orderable not viewable,,,,
CS1200010,ACT- Active,everywhere,active on web,released,,,,
S36940,ACT- Active,everywhere,active on web,Released,,,,
12752010,ACT- Active,everywhere,active on web,released,,,,
16170086,ACT- Active,everywhere,active on web,Released,,,,
491005,ACT- Active,everywhere,active on web,released,,,,
4326717,DIS- Discontinued,everywhere,remove from web,released,,,,
MT5427,DIS- Discontinued,everywhere,remove from web,not listed,,,,
401192,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
11020013,ACT- Active,everywhere,active on web,Released,,,,
4404033,ACT- Active,everywhere,active on web,Released,,,,
402231,DIS- Discontinued,everywhere,remove from web,not listed,,,,
AM1705,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
100012601,DIS- Discontinued,everywhere,remove from web,not listed,,,,
960203,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
960403,DIS- Discontinued,everywhere,remove from web,Released,,,,
960603,DIS- Discontinued,everywhere,remove from web,Discontinued,,,,
